depth_cm,Year,IIIa5,IIIa6,IIIb5,IIIb6,IIIc5,IIIc6,IIa5,IIa6,IIb5,IIb6,IIc5,IIc6,Ia,Ib,Ic,MBT5Me
38.75,1496,0.216640573,0.055133423,0.002301916,0.00370294,0.000511476,0.000345522,0.250257619,0.096084269,0.01970135,0.018592428,0.003602426,0,0.298021715,0.030721282,0.004383061,0.406387281
39.25,1488,0.22433548,0.057077588,0.002589536,0.003342703,0.000283087,0.00018242,0.255120195,0.099761265,0.01855599,0.016665344,0.003562178,0,0.285853889,0.028586064,0.004084263,0.390092123
39.75,1481,0.217373711,0.056809345,0.002605234,0.003519317,0.000652988,0.000463996,0.250126171,0.10148745,0.017761431,0.016934547,0.003332012,0,0.295140169,0.029652771,0.004140858,0.403998738
40.25,1475,0.226255419,0.059285948,0.0028343,0.001322548,0.000815583,0.001537426,0.252761551,0.098420008,0.017404329,0.01661889,0.003604528,0,0.287545359,0.027514773,0.004079337,0.391312925
40.75,1469,0.217630691,0.055542798,0.002239845,0.003396017,0.000200895,0.000430719,0.248002822,0.097794495,0.018252842,0.017711511,0.003441174,0.000169159,0.300490792,0.030043412,0.004652827,0.409227105
41.25,1463,0.221101297,0.056314866,0.002533222,0.00365984,0.000545687,0.000320093,0.246343249,0.095793296,0.017908993,0.017243082,0.003329487,0,0.302033192,0.028563763,0.004309933,0.408293362
41.75,1456,0.227803453,0.056972328,0.002545185,0.003624851,0.00025107,0.000577694,0.243463965,0.098474419,0.01889489,0.015627576,0.00367088,0,0.294947466,0.028972458,0.004173764,0.400967044
42.25,1450,0.214960215,0.050274474,0.002438168,0.002822683,0.000574411,0.000531902,0.253922108,0.087782834,0.01963758,0.016756328,0.003490105,0,0.309602289,0.032412665,0.004794238,0.415176718
42.75,1444,0.216589703,0.056805908,0.004909609,0.003028124,0.003821818,0.000209138,0.263193939,0.088161174,0.018766305,0.015662075,0.003665013,0.000332285,0.291285906,0.029226719,0.004342286,0.394526348
43.25,1437,0.226460605,0.055631778,0.002470865,0.002950394,0.000248505,0.000546677,0.256015781,0.095629674,0.018110578,0.016568815,0.003554686,0.000182278,0.289096965,0.028275313,0.004257088,0.391173654
43.75,1431,0.22018794,0.053672639,0.002492082,0.003202128,0.000632351,0.000376325,0.252578352,0.099388658,0.01852566,0.015642086,0.003470295,0,0.29754599,0.027936962,0.004348532,0.401683194
44.25,1425,0.227322408,0.057428626,0.002689341,0.00321097,0.000489595,0.000241168,0.251541872,0.098858002,0.018111487,0.015742341,0.003364524,0,0.290822628,0.02614681,0.00403023,0.392431917
44.75,1420,0.227279571,0.057840656,0.003623701,0.004496738,0.002433055,0.000234704,0.253943073,0.090148612,0.017461166,0.017352837,0.003872737,0.000564308,0.288876799,0.027709725,0.004162318,0.391427948
45.75,1413,0.220269152,0.05370284,0.002288006,0.003047032,0.00053832,0.000253838,0.254542158,0.096027193,0.01768938,0.016175922,0.003531175,0.000304314,0.300258455,0.02703821,0.004334004,0.402400255
46.25,1406,0.21315239,0.051270378,0.002535078,0.003344676,0.000484805,0.000172833,0.251039794,0.09608806,0.018107676,0.015539824,0.003448325,0,0.311297536,0.029077571,0.004441055,0.416889714
46.75,1399,0.210219736,0.051618401,0.002129448,0.003114348,0.000493891,0.000338972,0.255145309,0.091664021,0.017505974,0.015751432,0.003288207,5.81E-05,0.314881482,0.029087088,0.004703578,0.419307334
47.25,1389,0.214297782,0.055919776,0.002747897,0.003702235,0.001013352,0.000200506,0.245028654,0.100982749,0.016490892,0.01678137,0.003249214,0.000185631,0.307561888,0.027489663,0.004348391,0.416330657
47.75,1381,0.214942211,0.053372112,0.001929942,0.003028814,0.000469824,0.000135871,0.246459871,0.099040537,0.0165614,0.016008548,0.002938949,8.96E-05,0.313814759,0.026764058,0.004443541,0.419232436
48.25,1374,0.205010175,0.050425569,0.002180876,0.003265104,0.000425502,0.00017444,0.246884728,0.099816017,0.015177573,0.015232499,0.002886202,5.47E-05,0.328013992,0.02598655,0.004466094,0.434221263
48.75,1365,0.207565972,0.051603164,0.002116504,0.003694057,0.000419751,0.000170782,0.251126926,0.093915455,0.013974714,0.015847068,0.002648238,8.69E-05,0.327647829,0.024839917,0.004342715,0.430176359
49.25,1358,0.195809498,0.051257113,0.002148702,0.003240043,0.001007248,0.000152691,0.249761878,0.089582256,0.013022509,0.01518739,0.002733978,0,0.346848553,0.024914522,0.004333619,0.450582172
49.75,1351,0.20240298,0.049671309,0.00212495,0.003730625,0.00044301,0.000233892,0.250211556,0.092531224,0.013736633,0.017382175,0.002620209,0.000117832,0.336993728,0.023976534,0.003823341,0.438905009
50.25,1344,0.196061388,0.044448837,0.001895968,0.003222523,0.000437042,0.000130643,0.245265308,0.090921949,0.013191355,0.016830812,0.002474614,0,0.354686194,0.025946465,0.004486901,0.458673546
50.75,1338,0.177535981,0.042061472,0.001893281,0.003076018,0.000360112,0.000157435,0.253852434,0.081156,0.013096513,0.014130447,0.002872158,0.000152431,0.37922843,0.025533416,0.004893873,0.479611549
51.25,1332,0.163739933,0.042244447,0.001731057,0.002879496,0.00057625,0.000113503,0.257105222,0.07262656,0.012137639,0.013651486,0.002740088,0,0.400564972,0.024929013,0.004960334,0.498535809
51.75,1325,0.189165742,0.045282524,0.00204639,0.003592449,0.000417745,0.000158909,0.252046187,0.085275757,0.013009076,0.015030746,0.002745463,0,0.363803609,0.023411726,0.004013679,0.462746473
52.25,1317,0.186984153,0.044842774,0.00200663,0.003520119,0.000399882,0.000214579,0.257716667,0.072596237,0.013787366,0.014404367,0.002897737,0.000172048,0.370370133,0.025702686,0.004384622,0.46621978
52.75,1310,0.205060813,0.048801479,0.002329443,0.004754059,0,0,0.261552701,0.083170468,0.017874102,0.017400001,0.003618439,0,0.321215057,0.028999144,0.005224294,0.42317829
53.25,1304,0.20563797,0.054802432,0.002807769,0.003069051,0.000974393,0.000216388,0.257194647,0.089510115,0.016924345,0.014335108,0.003180104,0,0.320552518,0.026610976,0.004184185,0.422747825
53.75,1297,0.212668333,0.050652436,0.002311316,0.003588069,0.000485141,0.000220548,0.250841854,0.094961559,0.016612664,0.019399852,0.003202216,0.000147355,0.315293198,0.025392574,0.004222884,0.418055132
