label,No,Latitude,Longitude,MBT5Me,IR6Me,Seasonality,MAT,MAP,MAT_0,SoP,CV_rainfall,Altitude,SoilPh
USA-GB,272,39.3,-111.5,0.457811195,0.73,24.50434783,7.955144928,347.3556522,11.46454106,7.68,0.62,NaN,7.41
USA-HF2,273,42.5,-72.2,0.69,0.1,26.36,8.233115942,1081.637391,12.35352657,9.88,0.32,NaN,3.98
USA-HI3,274,20.1,-155.7,0.72,0.6,3.108695652,19.76949275,2770.35913,19.76949275,103.36,0.84,NaN,6.53
USA-HJ1,275,44.2,-122.2,0.52,0.21,17.7373913,8.06826087,1217.408696,8.06826087,91.58,1.75,NaN,5.41
USA-IE,276,41.8,-73.47,0.631382037,0.31,25.61826087,8.963695652,1191.210435,12.9389372,11.59,0.27,NaN,5.775
USA-IT1,277,47.2,-95.2,0.52,0.24,34.78347826,4.031594203,611.9982609,13.36310559,56.51,1.84,NaN,5.78
USA-KP1,279,39.1,-96.6,0.74,0.44,28.6173913,12.83028986,833.9069565,14.17083004,63.22,1.64,NaN,6.37
USA-LQ2,281,18.3,-65.8,0.95,0.29,3.572173913,25.03166667,2302.941739,25.03166667,117.33,1.27,NaN,5.03
USA-MP1,282,49.5,-123.5,0.36,0.03,16.01304348,5.966956522,1914.154783,8.20821256,113.57,1.33,NaN,4.56
USA-R-1,284,42.75,-73.8,0.63,0.32,27.47391304,8.637753623,954.9904348,12.97062802,14.87,0.45,83,6.6
USA-R-2,285,41.58,-84.6,0.52,0.37,26.91391304,9.123913043,906.7886957,13.39903382,22.79,0.69,262,6.5
USA-R-3,286,43.31,-89.25,0.6,0.6,30.41130435,7.480144928,815.0634783,13.84217391,36.94,1.09,243,7.7
USA-R-4,287,44.53,-93.13,0.47,0.56,33.08,7.303115942,724.506087,14.19467391,50.18,1.5,256,7.7
USA-R-5,288,45.57,-112.29,0.56,0.79,24.70434783,5.542318841,337.0869565,11.82708075,32.11,1.77,1692,8.1
USA-R-6,289,47.38,-117.32,0.45,0.51,22.88695652,8.683695652,531.0365217,10.7466087,28.72,1.31,723,7.4
USA-RT1,290,31.5,-96.9,0.8,0.68,21.48608696,19.29601449,904.2878261,19.29601449,45.12,0.99,NaN,7.92
USA-SA1,292,35.4,-111.6,0.37,0.32,20.64869565,7.071594203,572.6086957,10.0010628,30.31,1.38,NaN,6.9
USA-SB1,293,34.5,-119.8,0.94,0.97,9.440869565,11.39884058,617.42,11.39884058,75.4,2.38,NaN,7.92
USA-SN1,294,36.5,-118.2,0.28,0.17,18.00608696,7.147463768,573.1321739,8.670521739,66.98,2.19,NaN,4.95
USA-SP1,296,36.5,-118.7,0.5,0.33,17.3226087,7.459782609,674.8730435,7.459782609,70.56,2.01,NaN,6.25
USA-SP2,297,36.6,-111.6,0.4,0.06,24.13652174,11.16144928,293.5008696,12.22268775,17.51,1.32,NaN,5.13
USA-SR1,298,34.7,-120.1,0.361048429,0.48,7.297391304,13.36811594,433.3243478,13.36811594,54.57,2.49,NaN,6.84
USA-SV,299,34.3,-106.7,0.719699224,0.88,21.01478261,11.08623188,334.1886957,11.08623188,40.26,2.03,NaN,8.3375
USA-VC1,300,35.9,-106.6,0.475,0.36,21.34347826,7.238478261,504.9973913,10.36637681,43.07,1.37,NaN,5.55
USA-W,302,41.54,-70.65,0.77,0.21,23.68,10.02253623,1174.771304,12.32,10.75,0.3,5,4.5
Zaire-1,303,0.87,42.47,0.92,NaN,4.177391304,28.52949275,399.9556522,28.52949275,43.04,2.24,440,3.9
Zaire-2,304,0.77,24.43,0.98,NaN,1.610434783,25.41891304,1725.115652,25.41891304,72.25,0.93,460,4.1
Ireland,305,53.1,-8,0.588379133,0.01,10.14173913,9.372463768,987.1034783,9.372463768,19.12,0.48,60,4
UK,306,55.1,-2.5,0.59,NaN,11.60782609,7.392101449,1249.846957,7.390652174,26.7,0.56,280,4.15
Germany,307,52.5,9.7,0.560700406,NaN,16.71478261,8.992028986,653.9052174,8.992971014,17.83,0.62,52,4
Finland,308,60.8,22.8,0.583142661,NaN,22.96086957,4.695072464,578.4182609,9.300543478,25.69,0.98,87,4
Peru,309,-3.9,-74.4,0.958915487,NaN,1.413913043,26.37869565,2759.027826,26.37876812,39.54,0.44,100,3.7
