ID,Lake,Latitude,Longitude,Core.Depth,Area,Max.depth,pH,Conductivity,Mixing,Nutrients,ReportedMAAT,MAT,MAT_0,MAP,Outliers,IIIa5,IIIa6,IIIb5,IIIb6,IIIc5,IIIc6,IIa5,IIa6,IIb5,IIb6,IIc5,IIc6,Ia,Ib,Ic,MBT5Me,MBT6Me,CBT,IR,fC,Source
LS111,Emerald Lake,59.63,-151.074,52,NA,NA,NA,NA,NA,NA,NA,1.902125105,6.419357462,1127.786044,0,0.259613462,0.146679151,0.016218645,0.013231578,0,0,0.172197627,0.109872245,0.050280146,0.027291928,0.017498924,0.0003106,0.154975213,0.018346636,0.013483846,0.27927426,0.396910835,-0.29524537,0.370584302,0.064491031,UA
LS112,High Lake,59.965,-159.486,NA,5.93,NA,NA,NA,NA,NA,NA,-0.66083338,7.829000254,1098.564055,0,0.328664599,0.08799989,0.009950002,0.008844599,0,0,0.190543326,0.087720674,0.035047831,0.015278036,0.013915882,0.000511209,0.194533046,0.016469175,0.010521731,0.285550073,0.536998404,-0.54922176,0.256286459,0.045428462,UA
LS113,Ptarmigan Lake,61.15,-145.72,NA,2.5,75,NA,NA,NA,NA,NA,-0.862916694,8.260000452,1385.171055,0,0.395232463,0.089167701,0.004482317,0.001004353,0,0,0.226204978,0.096670923,0.014053093,0.009859789,0.003042483,0.000309283,0.144203099,0.01268257,0.003086946,0.201106255,0.449776907,-0.585640526,0.235443955,0.021575365,UA
LS114,Greyling lake,61.382,-145.738,15,0.7,36,NA,NA,NA,NA,NA,-1.942500169,7.696000296,1442.58105,0,0.405189088,0.192136355,0.030872509,0.010639706,0,0,0.126595865,0.098288881,0.024107196,0.015299661,0.006120593,0.002679657,0.076050281,0.008935022,0.003085187,0.136763353,0.223645306,-0.294094397,0.35482689,0.028700099,UA
LS115,Mica Lake,60.92,-147.869,58,0.65,60,6,NA,NA,NA,NA,3.488750146,7.818571789,3817.999145,0,0.320827811,0.026152822,0.002399808,0.001268713,0,0,0.316020654,0.055913841,0.011657828,0.006379381,0.002128345,0.00000943,0.243506096,0.012656963,0.001078311,0.284009974,0.744144448,-0.992716418,0.120015962,0.016521325,UA
LS116,Shainin Pond,68.331,-151.091,NA,0.1,NA,NA,NA,NA,NA,NA,-8.083333691,8.038333694,346.514013,0,0.354644396,0.169483855,0.010628633,0.008238347,0,0,0.150439831,0.114121191,0.04779702,0.02646532,0.00314612,0.000862618,0.09134704,0.019451333,0.003374296,0.171159581,0.269120904,-0.279399525,0.359313734,0.051407107,UA
LS117,Cascade Lake 2012,68.378,-154.602,55,2.96,NA,NA,NA,NA,NA,NA,-7.745417044,6.905000448,525.701019,0,0.50078253,0.126491276,0.010860067,0.002603205,0,0,0.113409389,0.025218465,0.01096545,0.00383267,0.012194915,0.001633432,0.163629908,0.020897146,0.007481547,0.234968915,0.552461637,-0.678628693,0.199234603,0.02603985,UA
LS118,Shainin Lake,68.34,-151.061,25,4.89,NA,NA,NA,NA,NA,NA,-8.399583618,8.160000563,326.601014,0,0.241824614,0.238236329,0.016997464,0.022916105,0,0,0.143014971,0.142199989,0.028558288,0.045986367,0.004795342,0.004734193,0.08881712,0.018838111,0.003081105,0.211274773,0.206151869,-0.042496689,0.507754521,0.052361398,UA
LS119,Upper Kurupa,68.21731111,-154.4953611,40,0.32,NA,NA,NA,NA,NA,NA,-7.606250371,5.55666697,656.076025,0,0.281528057,0.117449972,0.018098566,0.005326737,0,0,0.215930104,0.157343475,0.012253926,0.015823158,0.003737503,0.001447137,0.159151461,0.00930543,0.002604473,0.251275022,0.370520959,-0.350112057,0.363121562,0.021922944,UA
LS120,Kurupa Lake,68.35,-154.61,34,3.81,NA,NA,NA,NA,NA,NA,-8.115875408,6.839833697,523.285022,0,0.348375632,0.153644151,0.006863166,0.005172201,0,0,0.186631514,0.145408769,0.01848152,0.021677687,0.002715961,0.001653118,0.093431902,0.014289871,0.001654507,0.165005377,0.254300229,-0.289888182,0.366876614,0.029360692,UA
R1,Albert,1.683,30.917,58,5660,NA,9,770,NA,NA,26.8,26.8,26.8,1276.959344,0,0.008869822,0.10719949,0,0,0,0,0.040676486,0.401293712,0.009621927,0.033752789,0,0,0.333549072,0.052230791,0.012805912,0.87074229,0.423652548,0.161026681,0.901618165,0.060608665,Russell2018
R2,Alice,-0.076,37.465,26.5,0.186,NA,7.4,25,NA,NA,9.6,9.6,9.6,1838.973757,0,0.241113013,0.094286852,0,0,0,0,0.30378843,0.130240633,0.028218108,0.017901624,0,0,0.159609319,0.019889672,0.004952349,0.243477333,0.432091328,-0.454520487,0.297258914,0.037957051,Russell2018
R3,Bandasa,-0.157,37.449,0.3,0.00542,NA,8.1,21,NA,NA,12.8,12.8,12.8,1838.973757,0,0.10201588,0.019889084,0,0,0,0,0.320901424,0.106106042,0.022179264,0.007385479,0,0,0.362636016,0.046497341,0.012389469,0.486399022,0.759632762,-0.731507294,0.230571942,0.050420511,Russell2018
R4,Batoda,0.3,29.883,14.5,0.0953,NA,5.3,13,NA,NA,4.2,4.2,4.2,1303.666971,0,0.362970257,0.078831698,0,0,0,0,0.266264832,0.115363199,0.010372481,0.000862789,0,0,0.159584402,0.005230592,0.00051975,0.205399494,0.458763088,-0.605658885,0.233695706,0.008752681,Russell2018
R5,Bigata,0.307,29.883,18,0.0144,NA,5.9,8,NA,NA,4.2,4.2,4.2,1303.666971,0,0.370813571,0.023451454,0,0,0,0,0.369144958,0.031335199,0.009258949,0.000513182,0,0,0.190726618,0.00357703,0.001179039,0.206925641,0.779490873,-1.216916753,0.068736662,0.00785362,Russell2018
R6,Bugwagi,-0.2,30.183,85,0.602,NA,7.2,439,NA,NA,24,24,24,1126.844934,0,0.030920509,0.035167781,0,0,0,0,0.137055471,0.140120989,0.074199893,0.046694289,0,0,0.355541979,0.158705329,0.02159376,0.688726736,0.707078396,-0.33229563,0.478247953,0.161393516,Russell2018
